Exercise_Name,Description_URL,muscle_gp,Equipment,Rating,Description,Exercise_Images
Single-leg depth squat,https://www.bodybuilding.com/exercises/single-leg-high-box-squat,Quadriceps,Bands,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-68e-single-leg-depth-squat-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-68e-single-leg-depth-squat-m4-square-600x600.jpg']"
Dumbbell suitcase crunch,https://www.bodybuilding.com/exercises/weighted-suitcase-crunch,Abdominals,Medicine Ball,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m2-square-600x600.jpg']"
Plate Twist,https://www.bodybuilding.com/exercises/plate-twist,Abdominals,Other,9.0,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/m/106_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/m/106_2.jpg']"
Single-leg cable hip extension,https://www.bodybuilding.com/exercises/one-legged-cable-kickback,Glutes,Cable,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43c-single-leg-cable-hip-extension-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43c-single-leg-cable-hip-extension-m2-square-600x600.jpg']"
Weighted Jump Squat,https://www.bodybuilding.com/exercises/weighted-jump-squat-,Quadriceps,Barbell,9.0,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/887/Male/m/887_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/887/Male/m/887_2.jpg']"
Weighted Crunches,https://www.bodybuilding.com/exercises/weighted-crunches,Abdominals,Other,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m2-square-600x600.jpg']"
Single-arm cable triceps extension,https://www.bodybuilding.com/exercises/cable-one-arm-tricep-extension,Triceps,Cable,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31c-single-arm-cable-triceps-extension-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31c-single-arm-cable-triceps-extension-m2-square-600x600.jpg']"
Barbell roll-out,https://www.bodybuilding.com/exercises/barbell-ab-rollout,Abdominals,Barbell,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m2-square-600x600.jpg']"
Kneeling cable crunch,https://www.bodybuilding.com/exercises/cable-crunch,Abdominals,Cable,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m2-square-600x600.jpg']"
Hanging leg raise,https://www.bodybuilding.com/exercises/hanging-leg-raise,Abdominals,Body Only,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9m-hanging-leg-raise-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9m-hanging-leg-raise-m2-square-600x600.jpg']"
Barbell Ab Rollout - On Knees,https://www.bodybuilding.com/exercises/barbell-ab-rollout-on-knees,Abdominals,Barbell,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m2-square-600x600.jpg']"
Barbell Squat,https://www.bodybuilding.com/exercises/barbell-squat,Quadriceps,Barbell,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50b-barbell-back-squat-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50b-barbell-back-squat-m2-square-600x600.jpg']"
Decline barbell bench press,https://www.bodybuilding.com/exercises/decline-barbell-bench-press,Chest,Barbell,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34n-decline-barbell-bench-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34n-decline-barbell-bench-press-m2-square-600x600.jpg']"
Barbell front squat,https://www.bodybuilding.com/exercises/front-barbell-squat,Quadriceps,Barbell,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51b-barbell-front-squat-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51b-barbell-front-squat-m2-square-600x600.jpg']"
Side-to-side box skip,https://www.bodybuilding.com/exercises/side-to-side-box-shuffle,Quadriceps,Body Only,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-69e-side-to-side-box-skip-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-69e-side-to-side-box-skip-m3-square-600x600.jpg']"
Smith machine shoulder press,https://www.bodybuilding.com/exercises/smith-machine-overhead-shoulder-press,Shoulders,Machine,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-alt-31t-smith-machine-shoulder-press-m1-square-600x600.jpg', nan]"
Pull-up,https://www.bodybuilding.com/exercises/wide-grip-pull-up,Lats,Body Only,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-92c-pull-up-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-92c-pull-up-m2-square-600x600.jpg']"
Wide-grip bench press,https://www.bodybuilding.com/exercises/wide-grip-barbell-bench-press,Chest,Barbell,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-84e-wide-grip-bench-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-84e-wide-grip-bench-press-m2-square-600x600.jpg']"
Close-grip EZ-bar curl,https://www.bodybuilding.com/exercises/close-grip-ez-bar-curl,Biceps,Barbell,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47s-close-grip-ez-bar-curl-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47s-close-grip-ez-bar-curl-m2-square-600x600.jpg']"
T-Bar Row,https://www.bodybuilding.com/exercises/t-bar-row,Middle Back,Other,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/3381_1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/3381_2.jpg']"
Bent Over Two-Arm Long Bar Row,https://www.bodybuilding.com/exercises/bent-over-two-arm-long-bar-row,Middle Back,Barbell,8.9,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/18/Male/m/18_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/18/Male/m/18_2.jpg']"
Alternating sit-through with crunch,https://www.bodybuilding.com/exercises/bent-over-one-arm-long-bar-row,Middle Back,Other,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m3-square-600x600.jpg']"
Decline Close-Grip Bench To Skull Crusher,https://www.bodybuilding.com/exercises/decline-close-grip-bench-to-skull-crusher,Triceps,Barbell,8.9,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/288/Male/m/288_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/288/Male/m/288_2.jpg']"
Lying Leg Curls,https://www.bodybuilding.com/exercises/lying-leg-curls,Hamstrings,Machine,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20m-lying-leg-curl-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20m-lying-leg-curl-m2-square-600x600.jpg']"
Cross-body hammer curl,https://www.bodybuilding.com/exercises/cross-body-hammer-curl,Biceps,Dumbbell,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4d-cross-body-hammer-curl-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4d-cross-body-hammer-curl-m2-square-600x600.jpg']"
Shotgun row,https://www.bodybuilding.com/exercises/shotgun-row,Lats,Cable,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-37c-shotgun-row-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-37c-shotgun-row-m2-square-600x600.jpg']"
Ab Roller,https://www.bodybuilding.com/exercises/ab-roller,Abdominals,Other,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-2s-ab-wheel-roll-out-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-2s-ab-wheel-roll-out-m2-square-600x600.jpg']"
Reverse-grip incline dumbbell bench press,https://www.bodybuilding.com/exercises/incline-dumbbell-press-reverse-grip,Chest,Dumbbell,8.9,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4n-reverse-grip-incline-dumbbell-bench-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4n-reverse-grip-incline-dumbbell-bench-press-m2-square-600x600.jpg']"
Leg Press,https://www.bodybuilding.com/exercises/leg-press,Quadriceps,Machine,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-44m-leg-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-44m-leg-press-m2-square-600x600.jpg']"
Stiff-Legged Dumbbell Deadlift,https://www.bodybuilding.com/exercises/stiff-legged-dumbbell-deadlift,Hamstrings,Dumbbell,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9d-dumbbell-stiff-legged-deadlift-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9d-dumbbell-stiff-legged-deadlift-m2-square-600x600.jpg']"
Tricep Dumbbell Kickback,https://www.bodybuilding.com/exercises/tricep-dumbbell-kickback,Triceps,Dumbbell,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-76d-single-arm-triceps-kick-back-m2-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-76d-single-arm-triceps-kick-back-m3-square-600x600.jpg']"
Mountain climber,https://www.bodybuilding.com/exercises/mountain-climbers,Abdominals,Body Only,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-201a-mountain-climber-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-201a-mountain-climber-m3-square-600x600.jpg']"
Ab bicycle,https://www.bodybuilding.com/exercises/air-bike,Abdominals,Body Only,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73a-ab-cycle-m2-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73a-ab-cycle-m3-square-600x600.jpg']"
Barbell forward lunge,https://www.bodybuilding.com/exercises/barbell-lunge,Quadriceps,Barbell,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43b-barbell-forward-lunge-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43b-barbell-forward-lunge-m2-square-600x600.jpg']"
3/4 sit-up,https://www.bodybuilding.com/exercises/34-sit-up,Abdominals,Body Only,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-149a-34-sit-up-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-149a-34-sit-up-m3-square-600x600.jpg']"
Exercise ball leg curl,https://www.bodybuilding.com/exercises/ball-leg-curl,Hamstrings,Exercise Ball,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-21s-exercise-ball-leg-curl-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-21s-exercise-ball-leg-curl-m2-square-600x600.jpg']"
Glute bridge,https://www.bodybuilding.com/exercises/butt-lift-bridge,Glutes,Body Only,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-59a-glute-bridge-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-59a-glute-bridge-m2-square-600x600.jpg']"
Close-Grip Front Lat Pulldown,https://www.bodybuilding.com/exercises/close-grip-front-lat-pulldown,Lats,Cable,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73c-close-grip-pull-down-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73c-close-grip-pull-down-m2-square-600x600.jpg']"
Dip Machine,https://www.bodybuilding.com/exercises/dip-machine,Triceps,Cable,8.8,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/146/Male/m/146_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/146/Male/m/146_2.jpg']"
Preacher Curl,https://www.bodybuilding.com/exercises/preacher-curl,Biceps,Barbell,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-55s-ez-bar-preacher-curl-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-55s-ez-bar-preacher-curl-m2-square-600x600.jpg']"
Reverse crunch,https://www.bodybuilding.com/exercises/reverse-crunch,Abdominals,Body Only,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-263a-reverse-crunch-m1-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-263a-reverse-crunch-m2-600x600.jpg']"
Standing Dumbbell Triceps Extension,https://www.bodybuilding.com/exercises/standing-dumbbell-triceps-extension,Triceps,Dumbbell,8.8,Average,"['https://www.bodybuilding.com/images/2020/june/345_1.jpg', 'https://www.bodybuilding.com/images/2020/june/345_2.jpg']"
Elliptical trainer,https://www.bodybuilding.com/exercises/elliptical-trainer,Quadriceps,Machine,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22m-elliptical-trainer-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22m-elliptical-trainer-m2-square-600x600.jpg']"
Bodyweight squat,https://www.bodybuilding.com/exercises/bodyweight-squat,Quadriceps,Body Only,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27a-bodyweight-squat-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27a-bodyweight-squat-m2-square-600x600.jpg']"
Bent Over Two-Dumbbell Row With Palms In,https://www.bodybuilding.com/exercises/bent-over-two-dumbbell-row-with-palms-in,Middle Back,Dumbbell,8.8,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/17/Male/m/17_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/17/Male/m/17_2.jpg']"
Hex-bar deadlift,https://www.bodybuilding.com/exercises/trap-bar-deadlift,Quadriceps,Other,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-123s-hex-bar-deadlift-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-123s-hex-bar-deadlift-m2-square-600x600.jpg']"
Narrow-stance leg press,https://www.bodybuilding.com/exercises/narrow-stance-leg-press,Quadriceps,Machine,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-46m-wide-stance-leg-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-46m-wide-stance-leg-press-m2-square-600x600.jpg']"
Single-leg glute bridge,https://www.bodybuilding.com/exercises/single-leg-glute-bridge,Glutes,Body Only,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61a-single-leg-glute-bridge-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61a-single-leg-glute-bridge-m3-square-600x600.jpg']"
Barbell Curls Lying Against An Incline,https://www.bodybuilding.com/exercises/barbell-curls-lying-against-an-incline,Biceps,Barbell,8.8,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/300/Male/m/300_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/300/Male/m/300_2.jpg']"
Standing Hip Circles,https://www.bodybuilding.com/exercises/standing-hip-circles,Abductors,Body Only,8.8,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/873/Male/m/873_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/873/Male/m/873_2.jpg']"
Clam,https://www.bodybuilding.com/exercises/clam,Abductors,,8.8,Average,"['https://www.bodybuilding.com/images/2020/april/2843_1.jpg', 'https://www.bodybuilding.com/images/2020/april/2843_2.jpg']"
Dumbbell front raise,https://www.bodybuilding.com/exercises/front-two-dumbbell-raise,Shoulders,Dumbbell,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13d-dumbbell-front-raise-m2-square-600x600.jpg', nan]"
Parallel Bar Dip,https://www.bodybuilding.com/exercises/parallel-bar-dip,Triceps,Body Only,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m2-square-600x600.jpg']"
Stairmaster,https://www.bodybuilding.com/exercises/stairmaster,Quadriceps,Machine,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51m-stair-climber-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51m-stair-climber-m2-square-600x600.jpg']"
Double Leg Butt Kick,https://www.bodybuilding.com/exercises/double-leg-butt-kick,Quadriceps,,8.8,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/778/Male/m/778_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/778/Male/m/778_2.jpg']"
V-bar pull-up,https://www.bodybuilding.com/exercises/v-bar-pullup,Lats,,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-140c-v-bar-pull-up-m1-crop-600x600.jpg', nan]"
Burpee,https://www.bodybuilding.com/exercises/burpee,Quadriceps,Body Only,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-38a-burpee-m4-square-600x600.jpg', nan]"
Double-arm triceps kick-back,https://www.bodybuilding.com/exercises/standing-bent-over-two-arm-dumbbell-triceps-extension,Triceps,Dumbbell,8.8,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-75d-double-arm-triceps-kick-back-m2-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-75d-double-arm-triceps-kick-back-m3-square-600x600.jpg']"
Dumbbell reverse lunge,https://www.bodybuilding.com/exercises/dumbbell-rear-lunge,Quadriceps,Dumbbell,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-83d-dumbbell-reverse-lunge-m1-square-600x600.jpg', nan]"
Seated Calf Raise,https://www.bodybuilding.com/exercises/seated-calf-raise,Calves,Machine,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13m-machine-seated-calf-raise-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13m-machine-seated-calf-raise-m2-square-600x600.jpg']"
Standing dumbbell shrug,https://www.bodybuilding.com/exercises/dumbbell-shrug,Traps,Dumbbell,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-115d-standing-dumbbell-shrug-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-115d-standing-dumbbell-shrug-m2-square-600x600.jpg']"
Single-arm dumbbell preacher curl,https://www.bodybuilding.com/exercises/one-arm-dumbbell-preacher-curl,Biceps,Dumbbell,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-53s-single-arm-dumbbell-preacher-curl-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-53s-single-arm-dumbbell-preacher-curl-m2-square-600x600.jpg']"
Step-up with knee raise,https://www.bodybuilding.com/exercises/step-up-with-knee-raise,Glutes,Body Only,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-70e-step-up-with-knee-raise-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-70e-step-up-with-knee-raise-m2-square-600x600.jpg']"
Smith machine back squat,https://www.bodybuilding.com/exercises/smith-machine-squat,Quadriceps,Machine,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18t-smith-machine-back-squat-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18t-smith-machine-back-squat-m2-square-600x600.jpg']"
Alternate Incline Dumbbell Curl,https://www.bodybuilding.com/exercises/alternate-incline-dumbbell-curl,Biceps,Dumbbell,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26n-alternating-incline-dumbbell-biceps-curl-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26n-alternating-incline-dumbbell-biceps-curl-m2-square-600x600.jpg']"
Standing dumbbell upright row,https://www.bodybuilding.com/exercises/standing-dumbbell-upright-row,Traps,Dumbbell,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-125d-standing-dumbbell-upright-row-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-125d-standing-dumbbell-upright-row-m2-square-600x600.jpg']"
Single-arm cable front raise,https://www.bodybuilding.com/exercises/front-cable-raise,Shoulders,Cable,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-42c-single-arm-cable-front-raise-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-42c-single-arm-cable-front-raise-m2-square-600x600.jpg']"
Two-Arm Kettlebell Military Press,https://www.bodybuilding.com/exercises/two-arm-kettlebell-military-press,Shoulders,Kettlebells,8.7,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/530/Male/m/530_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/530/Male/m/530_2.jpg']"
Incline cable chest press,https://www.bodybuilding.com/exercises/incline-cable-chest-press,Chest,Cable,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11c-incline-cable-chest-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11c-incline-cable-chest-press-m2-square-600x600.jpg']"
Step-up with knee raise,https://www.bodybuilding.com/exercises/step-up-with-knee-raise,Glutes,Body Only,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-70e-step-up-with-knee-raise-m2-square-600x600.jpg', nan]"
Incline dumbbell front raise,https://www.bodybuilding.com/exercises/front-incline-dumbbell-raise,Shoulders,Dumbbell,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11n-incline-dumbbell-front-raise-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11n-incline-dumbbell-front-raise-m2-square-600x600.jpg']"
Rope climb,https://www.bodybuilding.com/exercises/rope-climb,Lats,Body Only,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-155s-rope-climb-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-155s-rope-climb-m3-square-600x600.jpg']"
Cable Chest Press,https://www.bodybuilding.com/exercises/cable-chest-press,Chest,Cable,8.7,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/870/Male/m/870_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/870/Male/m/870_2.jpg']"
Standing concentration curl,https://www.bodybuilding.com/exercises/standing-concentration-curl,Biceps,Dumbbell,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-23d-standing-concentration-curl-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-23d-standing-concentration-curl-m2-square-600x600.jpg']"
Wide-Grip Rear Pull-Up,https://www.bodybuilding.com/exercises/wide-grip-rear-pull-up,Lats,Body Only,8.7,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/191/Male/m/191_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/191/Male/m/191_2.jpg']"
Kettlebell pass-through lunge,https://www.bodybuilding.com/exercises/lunge-pass-through,Hamstrings,Kettlebells,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-57k-kettlebell-pass-through-lunge-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-57k-kettlebell-pass-through-lunge-m4-square-600x600.jpg']"
Hands-elevated push-up,https://www.bodybuilding.com/exercises/incline-push-up-medium,Chest,Body Only,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18e-hands-elevated-push-up-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18e-hands-elevated-push-up-m2-square-600x600.jpg']"
Deadlift with Bands,https://www.bodybuilding.com/exercises/deadlift-with-bands,Lower Back,Barbell,8.7,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/677/Male/m/677_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/677/Male/m/677_2.jpg']"
Straight-arm rope pull-down,https://www.bodybuilding.com/exercises/rope-straight-arm-pulldown,Lats,Cable,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-105c-straight-arm-rope-pull-down-m1-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-105c-straight-arm-rope-pull-down-m2-600x600.jpg']"
Barbell Shoulder Press,https://www.bodybuilding.com/exercises/barbell-shoulder-press,Shoulders,Barbell,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48e-seated-barbell-shoulder-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48e-seated-barbell-shoulder-press-m2-square-600x600.jpg']"
Power clean,https://www.bodybuilding.com/exercises/power-clean,Hamstrings,Barbell,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-25b-power-clean-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-25b-power-clean-m4-square-600x600.jpg']"
Hang Snatch,https://www.bodybuilding.com/exercises/hang-snatch,Hamstrings,Barbell,8.7,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/690/Male/m/690_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/690/Male/m/690_2.jpg']"
Kettlebell sumo deadlift high pull,https://www.bodybuilding.com/exercises/kettlebell-sumo-high-pull,Traps,Kettlebells,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-49k-kettlebell-sumo-deadlift-high-pull-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-49k-kettlebell-sumo-deadlift-high-pull-m3-square-600x600.jpg']"
