Exercise_Name,Description_URL,muscle_gp,Equipment,Rating,Description,Exercise_Images
Suspended ab fall-out,https://www.bodybuilding.com/exercises/suspended-fallout,Abdominals,Other,9.3,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-158s-suspended-ab-fall-out-m2-600x600.jpg', nan]"
Reverse Band Box Squat,https://www.bodybuilding.com/exercises/reverse-band-box-squat,Quadriceps,,9.3,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/753/Male/m/753_2.jpg', nan]"
Decline EZ-bar skullcrusher,https://www.bodybuilding.com/exercises/decline-ez-bar-triceps-extension,Triceps,E-Z Curl Bar,9.3,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47n-decline-ez-bar-skullcrusher-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47n-decline-ez-bar-skullcrusher-m2-square-600x600.jpg']"
Standing behind-the-back wrist curl,https://www.bodybuilding.com/exercises/standing-palms-up-barbell-behind-the-back-wrist-curl,Forearms,Barbell,9.3,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14b-standing-behind-the-back-wrist-curl-m1-square-600x600.jpg', nan]"
EZ-bar spider curl,https://www.bodybuilding.com/exercises/spider-curl,Biceps,Barbell,9.2,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18n-barbell-spider-curl-m1-square-600x600.jpg', nan]"
Front Squats With Two Kettlebells,https://www.bodybuilding.com/exercises/front-squats-with-two-kettlebells,Quadriceps,Kettlebells,9.2,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/511/Male/m/511_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/511/Male/m/511_2.jpg']"
Hammer Curls,https://www.bodybuilding.com/exercises/hammer-curls,Biceps,Dumbbell,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-7d-hammer-curl-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-7d-hammer-curl-m2-square-600x600.jpg']"
Incline dumbbell bench press,https://www.bodybuilding.com/exercises/incline-dumbbell-press,Chest,Dumbbell,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3n-incline-dumbbell-bench-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3n-incline-dumbbell-bench-press-m2-square-600x600.jpg']"
Low-cable cross-over,https://www.bodybuilding.com/exercises/low-cable-crossover,Chest,Cable,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-5c-low-cable-cross-over-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-5c-low-cable-cross-over-m2-square-600x600.jpg']"
Single-arm high-cable side bend,https://www.bodybuilding.com/exercises/one-arm-high-pulley-cable-side-bends,Abdominals,Cable,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-107c-single-arm-high-cable-side-bend-m1-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-107c-single-arm-high-cable-side-bend-m2-600x600.jpg']"
